# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): -89.75
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: calibration (ambient)
1.582315171017287970e+09 1.554000000000000103e-01 2.741999999999999886e+02
1.582315171116134882e+09 1.554999999999999993e-01 2.741999999999999886e+02
1.582315171216176987e+09 1.554999999999999993e-01 2.741999999999999886e+02
1.582315171315277100e+09 1.554000000000000103e-01 2.741999999999999886e+02
1.582315171415169001e+09 1.554999999999999993e-01 2.741999999999999886e+02
1.582315171514219046e+09 1.554999999999999993e-01 2.741999999999999886e+02
1.582315171614221096e+09 1.555999999999999883e-01 2.741999999999999886e+02
1.582315171714092970e+09 1.554000000000000103e-01 2.741999999999999886e+02
1.582315171813314915e+09 1.554000000000000103e-01 2.741999999999999886e+02
1.582315171913283110e+09 1.554999999999999993e-01 2.741999999999999886e+02
1.582315172026308060e+09 1.554999999999999993e-01 2.741999999999999886e+02
1.582315172126080036e+09 1.554000000000000103e-01 2.741999999999999886e+02
1.582315172225121975e+09 1.554999999999999993e-01 2.741999999999999886e+02
1.582315172325079918e+09 1.554999999999999993e-01 2.741999999999999886e+02
